Epoch,Eval_AverageReturn,Eval_StdReturn,,,,
1,4090.54296875,1079.29125976563,,,,
2,4727.517578125,158.797180175781,,,,
3,4724.5244140625,115.445404052734,,,,
4,4664.0224609375,126.302146911621,,,,
5,4448.57373046875,1021.02728271484,,,,
6,4718.0458984375,102.041976928711,,,,
7,4702.75,77.5901947021484,,,,
8,4645.5283203125,124.858360290527,,,,
9,4769.7255859375,86.4452362060547,,,,
10,4670.0078125,103.586654663086,,,,
