num_agent_train_steps_per_iter,Average Return,Std Return,,,,
200,670.620544433594,6.82792234420776,,,,
400,672.3125,33.5552940368652,,,,
600,798.473876953125,25.7239246368408,,,,
800,786.414428710938,22.3279304504395,,,,
1000,2326.51708984375,1831.91479492188,,,,
1200,3009.03833007813,1760.197265625,,,,
1400,3956.13354492188,1037.08325195313,,,,
1600,4116.9443359375,1107.20190429688,,,,
1800,3802.54052734375,1468.96789550781,,,,
2000,4090.54296875,1079.29125976563,,,,
2200,4174.49560546875,1104.81018066406,,,,
